"Day","Time","Wind","Visibility","Weather","Sky","Air.Temp","DewPt","Max6hr","Min6hr","Humidity","WindChill","AltimeterPressure","X1hrPrecip","X3hrPrecip","X6hrPrecip","Date","DateTime","HeatIndex","SeaLevelPressure"
"11","05:55","NW 20 G 28","10","Mostly Cloudy","BKN025","31","23","34","31","71%","19","30",NA,NA,NA,"2013-02-11",2013-02-11 05:55:00,NA,NA
"11","05:35","NW 21 G 26","10","Mostly Cloudy and Breezy","BKN027","31","22",NA,NA,"70%","18","29.99",NA,NA,NA,"2013-02-11",2013-02-11 05:35:00,NA,NA
"11","05:15","NW 20 G 28","10","Mostly Cloudy","BKN027","32","23",NA,NA,"70%","20","29.98",NA,NA,NA,"2013-02-11",2013-02-11 05:15:00,NA,NA
"11","04:55","NW 20 G 29","10","Mostly Cloudy","BKN029","31","23",NA,NA,"71%","19","29.97",NA,NA,NA,"2013-02-11",2013-02-11 04:55:00,NA,NA
"11","04:35","NW 21 G 28","10","Overcast and Breezy","OVC029","32","23",NA,NA,"69%","20","29.96",NA,NA,NA,"2013-02-11",2013-02-11 04:35:00,NA,NA
"11","04:15","NW 22 G 26","10","Overcast and Breezy","OVC031","32","23",NA,NA,"69%","19","29.96",NA,NA,NA,"2013-02-11",2013-02-11 04:15:00,NA,NA
"11","03:55","W 14","10","Mostly Cloudy","BKN029 BKN035","31","23",NA,NA,"72%","21","29.95",NA,NA,NA,"2013-02-11",2013-02-11 03:55:00,NA,NA
"11","03:35","NW 15 G 23","10","Fair","CLR","31","23",NA,NA,"71%","20","29.95",NA,NA,NA,"2013-02-11",2013-02-11 03:35:00,NA,NA
"11","03:15","NW 20 G 29","10","Fair","CLR","31","22",NA,NA,"70%","19","29.94",NA,NA,NA,"2013-02-11",2013-02-11 03:15:00,NA,NA
"11","02:55","NW 18 G 30","10","Fair","CLR","31","22",NA,NA,"69%","19","29.92",NA,NA,NA,"2013-02-11",2013-02-11 02:55:00,NA,NA
"11","02:35","NW 20 G 33","10","Fair","CLR","32","22",NA,NA,"67%","20","29.9",NA,NA,NA,"2013-02-11",2013-02-11 02:35:00,NA,NA
"11","02:15","NW 26 G 37","10","Fair and Windy","CLR","32","23",NA,NA,"68%","18","29.89",NA,NA,NA,"2013-02-11",2013-02-11 02:15:00,NA,NA
"11","01:55","NW 21 G 33","10","Partly Cloudy and Breezy","SCT033","32","22",NA,NA,"66%","20","29.88",NA,NA,NA,"2013-02-11",2013-02-11 01:55:00,NA,NA
"11","01:35","NW 28 G 36","10","Mostly Cloudy and Windy","BKN033 BKN040","33","23",NA,NA,"66%","19","29.87",NA,NA,NA,"2013-02-11",2013-02-11 01:35:00,NA,NA
"11","01:15","NW 32 G 39","10","Overcast and Windy","SCT031 OVC040","34","24",NA,NA,"67%","20","29.86",NA,NA,NA,"2013-02-11",2013-02-11 01:15:00,NA,NA
"11","00:55","NW 17 G 26","10","Overcast","OVC031","33","26",NA,NA,"73%","22","29.85",NA,NA,NA,"2013-02-11",2013-02-11 00:55:00,NA,NA
"11","00:35","NW 15 G 22","10","Overcast","OVC031","33","26",NA,NA,"74%","23","29.85",NA,NA,NA,"2013-02-11",2013-02-11 00:35:00,NA,NA
"11","00:15","NW 15 G 23","10","Overcast","BKN029 OVC039","33","26",NA,NA,"73%","23","29.84",NA,NA,NA,"2013-02-11",2013-02-11 00:15:00,NA,NA
"10","23:55","NW 17 G 26","10","Overcast","BKN027 BKN038 OVC047","34","26","34","32","72%","23","29.83",NA,NA,NA,"2013-02-10",2013-02-10 23:55:00,NA,NA
"10","23:35","NW 22 G 28","10","Overcast and Breezy","OVC029","34","26",NA,NA,"73%","22","29.82",NA,NA,NA,"2013-02-10",2013-02-10 23:35:00,NA,NA
"10","23:15","NW 16 G 30","10","Overcast","OVC029","34","25",NA,NA,"71%","24","29.8",NA,NA,NA,"2013-02-10",2013-02-10 23:15:00,NA,NA
"10","22:55","NW 23 G 33","10","Overcast and Breezy","BKN031 BKN038 OVC048","34","24",NA,NA,"69%","22","29.8",NA,NA,NA,"2013-02-10",2013-02-10 22:55:00,NA,NA
"10","22:35","W 23 G 31","10","Overcast and Breezy","SCT040 OVC050","33","24",NA,NA,"70%","21","29.79",NA,NA,NA,"2013-02-10",2013-02-10 22:35:00,NA,NA
"10","22:15","NW 25 G 35","10","Mostly Cloudy and Breezy","SCT038 BKN048","33","24",NA,NA,"70%","20","29.77",NA,NA,NA,"2013-02-10",2013-02-10 22:15:00,NA,NA
"10","21:55","NW 20 G 35","10","Partly Cloudy","SCT032 SCT038","32","23",NA,NA,"69%","20","29.75",NA,NA,NA,"2013-02-10",2013-02-10 21:55:00,NA,NA
"10","21:35","NW 30 G 37","10","Mostly Cloudy and Windy","SCT032 BKN038","33","24",NA,NA,"68%","19","29.74",NA,NA,NA,"2013-02-10",2013-02-10 21:35:00,NA,NA
"10","21:15","W 22 G 32","10","Mostly Cloudy and Breezy","BKN034","33","24",NA,NA,"71%","21","29.72",NA,NA,NA,"2013-02-10",2013-02-10 21:15:00,NA,NA
"10","20:55","NW 18 G 37","10","Overcast","OVC034","32","24",NA,NA,"71%","21","29.7",NA,NA,NA,"2013-02-10",2013-02-10 20:55:00,NA,NA
"10","20:35","W 21 G 32","10","Overcast and Breezy","OVC034","32","24",NA,NA,"71%","20","29.69",NA,NA,NA,"2013-02-10",2013-02-10 20:35:00,NA,NA
"10","20:15","W 28 G 39","10","Overcast and Windy","OVC036","33","24",NA,NA,"68%","19","29.67",NA,NA,NA,"2013-02-10",2013-02-10 20:15:00,NA,NA
"10","19:55","NW 23 G 37","10","Overcast and Breezy","OVC036","33","23",NA,NA,"67%","21","29.65",NA,NA,NA,"2013-02-10",2013-02-10 19:55:00,NA,NA
"10","19:35","NW 23 G 40","10","Overcast and Breezy","OVC034","33","24",NA,NA,"69%","21","29.64",NA,NA,NA,"2013-02-10",2013-02-10 19:35:00,NA,NA
"10","19:15","NW 26 G 39","10","Overcast and Windy","OVC032","33","24",NA,NA,"70%","20","29.63",NA,NA,NA,"2013-02-10",2013-02-10 19:15:00,NA,NA
"10","18:55","W 28 G 37","10","Overcast and Windy","OVC032","34","25",NA,NA,"70%","21","29.61",NA,NA,NA,"2013-02-10",2013-02-10 18:55:00,NA,NA
"10","18:35","NW 24 G 35","10","Overcast and Breezy","OVC030","34","26",NA,NA,"73%","22","29.6",NA,NA,NA,"2013-02-10",2013-02-10 18:35:00,NA,NA
"10","18:15","W 22 G 31","10","Overcast and Breezy","OVC028","34","27",NA,NA,"77%","22","29.58",NA,NA,NA,"2013-02-10",2013-02-10 18:15:00,NA,NA
"10","17:55","W 22 G 33","10","Overcast and Breezy","OVC028","34","28","41","34","77%","22","29.56",NA,NA,"0.01","2013-02-10",2013-02-10 17:55:00,NA,NA
"10","17:35","W 25 G 32","10","Overcast and Breezy","OVC026","35","29",NA,NA,"78%","23","29.55",NA,NA,NA,"2013-02-10",2013-02-10 17:35:00,NA,NA
"10","17:15","W 23 G 30","10","Overcast and Breezy","OVC026","35","31",NA,NA,"84%","23","29.53",NA,NA,NA,"2013-02-10",2013-02-10 17:15:00,NA,NA
"10","16:55","W 20","10","Overcast","SCT020 OVC026","35","32",NA,NA,"90%","24","29.5",NA,NA,NA,"2013-02-10",2013-02-10 16:55:00,NA,NA
"10","16:35","W 25 G 30","5","Fog/Mist and Breezy","SCT007 BKN016 OVC020","35","34",NA,NA,"96%","23","29.48",NA,NA,NA,"2013-02-10",2013-02-10 16:35:00,NA,NA
"10","16:15","W 24","2","Drizzle and Breezy","BKN007 OVC014","35","34",NA,NA,"98%","23","29.45",NA,NA,NA,"2013-02-10",2013-02-10 16:15:00,NA,NA
"10","15:55","W 25 G 31","1.5","Drizzle and Breezy","BKN009 OVC015","35","34",NA,NA,"98%","23","29.43","0.01",NA,NA,"2013-02-10",2013-02-10 15:55:00,NA,NA
"10","15:35","W 25 G 36","2.5","Light Rain and Breezy","BKN009 OVC015","36","35",NA,NA,"97%","24","29.41",NA,NA,NA,"2013-02-10",2013-02-10 15:35:00,NA,NA
"10","15:15","SW 30 G 39","3","Fog/Mist and Windy","BKN009 OVC013","36","35",NA,NA,"97%","23","29.39",NA,NA,NA,"2013-02-10",2013-02-10 15:15:00,NA,NA
"10","14:55","SW 29 G 36","4","Light Drizzle and Windy","OVC009","35","35",NA,NA,"97%","22","29.37",NA,NA,NA,"2013-02-10",2013-02-10 14:55:00,NA,NA
"10","14:35","SW 29 G 38","2.5","Light Rain and Windy","BKN009 OVC012","36","35",NA,NA,"97%","23","29.35",NA,NA,NA,"2013-02-10",2013-02-10 14:35:00,NA,NA
"10","14:15","SW 31 G 43","2","Drizzle and Windy","BKN011 OVC019","36","35",NA,NA,"97%","23","29.34",NA,NA,NA,"2013-02-10",2013-02-10 14:15:00,NA,NA
"10","13:55","SW 33 G 46","1.5","Drizzle and Windy","OVC020","37","33",NA,NA,"86%","24","29.33",NA,NA,NA,"2013-02-10",2013-02-10 13:55:00,NA,NA
"10","13:35","SW 36 G 43","10","Overcast and Windy","OVC020","39","31",NA,NA,"72%","26","29.32",NA,NA,NA,"2013-02-10",2013-02-10 13:35:00,NA,NA
"10","13:15","SW 29 G 40","10","Overcast and Windy","OVC020","39","32",NA,NA,"74%","27","29.32",NA,NA,NA,"2013-02-10",2013-02-10 13:15:00,NA,NA
"10","12:55","SW 32 G 40","10","Overcast and Windy","OVC022","39","31",NA,NA,"73%","27","29.32",NA,NA,NA,"2013-02-10",2013-02-10 12:55:00,NA,NA
"10","12:35","SW 28 G 37","10","Overcast and Windy","OVC026","40","31",NA,NA,"68%","29","29.31",NA,NA,NA,"2013-02-10",2013-02-10 12:35:00,NA,NA
"10","12:15","SW 26 G 40","10","Overcast and Windy","OVC026","41","30",NA,NA,"65%","31","29.32",NA,NA,NA,"2013-02-10",2013-02-10 12:15:00,NA,NA
"10","11:55","SW 28 G 36","10","Mostly Cloudy and Windy","BKN028 BKN033","42","29","47","40","61%","32","29.32",NA,NA,NA,"2013-02-10",2013-02-10 11:55:00,NA,NA
"10","11:35","SW 28 G 35","10","Mostly Cloudy and Windy","BKN028","42","30",NA,NA,"62%","32","29.32",NA,NA,NA,"2013-02-10",2013-02-10 11:35:00,NA,NA
"10","11:15","SW 25 G 37","10","Mostly Cloudy and Breezy","BKN028","42","30",NA,NA,"62%","32","29.32",NA,NA,NA,"2013-02-10",2013-02-10 11:15:00,NA,NA
"10","10:55","SW 31 G 38","10","Partly Cloudy and Windy","SCT028","42","31",NA,NA,"66%","31","29.31",NA,NA,NA,"2013-02-10",2013-02-10 10:55:00,NA,NA
"10","10:35","SW 29 G 40","10","Partly Cloudy and Windy","SCT028","41","31",NA,NA,"69%","30","29.31",NA,NA,NA,"2013-02-10",2013-02-10 10:35:00,NA,NA
"10","10:15","SW 31 G 37","10","Partly Cloudy and Windy","SCT026 SCT036","42","33",NA,NA,"69%","31","29.31",NA,NA,NA,"2013-02-10",2013-02-10 10:15:00,NA,NA
"10","09:55","SW 26 G 35","10","Partly Cloudy and Windy","SCT037","44","34",NA,NA,"67%","35","29.31",NA,NA,NA,"2013-02-10",2013-02-10 09:55:00,NA,NA
"10","09:35","SW 32 G 37","10","Mostly Cloudy and Windy","SCT020 BKN029 BKN039","45","36",NA,NA,"72%","35","29.31",NA,NA,NA,"2013-02-10",2013-02-10 09:35:00,NA,NA
"10","09:15","S 25 G 31","10","Overcast and Breezy","SCT020 BKN026 OVC039","46","42",NA,NA,"87%","37","29.31",NA,NA,NA,"2013-02-10",2013-02-10 09:15:00,NA,NA
"10","08:55","S 26 G 32","10","Overcast and Windy","SCT020 BKN025 OVC041","46","43",NA,NA,"89%","37","29.32",NA,NA,NA,"2013-02-10",2013-02-10 08:55:00,NA,NA
"10","08:35","S 18 G 25","10","Mostly Cloudy","SCT022 SCT026 BKN033","45","43",NA,NA,"93%","37","29.34",NA,NA,NA,"2013-02-10",2013-02-10 08:35:00,NA,NA
"10","08:15","S 18 G 22","10","Partly Cloudy","SCT019 SCT026 SCT032","44","43",NA,NA,"97%","36","29.35",NA,NA,NA,"2013-02-10",2013-02-10 08:15:00,NA,NA
"10","07:55","S 16","7","Overcast","SCT008 BKN021 OVC039","44","43",NA,NA,"97%","37","29.37",NA,NA,NA,"2013-02-10",2013-02-10 07:55:00,NA,NA
"10","07:35","S 15 G 24","10","Overcast","OVC008","44","43",NA,NA,"98%","37","29.38",NA,NA,NA,"2013-02-10",2013-02-10 07:35:00,NA,NA
"10","07:15","S 21 G 26","10","Overcast and Breezy","BKN006 OVC011","44","43",NA,NA,"98%","36","29.38",NA,NA,NA,"2013-02-10",2013-02-10 07:15:00,NA,NA
"10","06:55","S 18 G 29","7","Overcast","BKN006 OVC012","43","43",NA,NA,"99%","35","29.38",NA,NA,NA,"2013-02-10",2013-02-10 06:55:00,NA,NA
"10","06:35","S 20 G 25","7","Overcast","OVC004","43","42",NA,NA,"99%","34","29.38",NA,NA,NA,"2013-02-10",2013-02-10 06:35:00,NA,NA
"10","06:15","S 18","5","Fog/Mist","OVC004","42","42",NA,NA,"99%","34","29.4",NA,NA,NA,"2013-02-10",2013-02-10 06:15:00,NA,NA
"10","05:55","S 21 G 26","2.5","Light Rain and Breezy","OVC004","42","42","42","39","99%","33","29.4",NA,NA,NA,"2013-02-10",2013-02-10 05:55:00,NA,NA
"10","05:35","S 20 G 24","3","Rain","OVC004","42","42",NA,NA,"99%","33","29.41",NA,NA,NA,"2013-02-10",2013-02-10 05:35:00,NA,NA
"10","05:15","S 18 G 28","5","Fog/Mist","OVC004","42","42",NA,NA,"99%","34","29.42",NA,NA,NA,"2013-02-10",2013-02-10 05:15:00,NA,NA
"10","04:55","S 17 G 25","3","Fog/Mist","OVC004","41","41",NA,NA,"99%","33","29.44",NA,NA,NA,"2013-02-10",2013-02-10 04:55:00,NA,NA
